#  Interpolation error = 2.8146680E-08
# Normalising constant = 3.9413096E-01
 #      X             PDF_ex          PDF_ap           err
-1.519355   1.28660899E-01   0.128661   -0.000003   
-1.514516   1.29580135E-01   0.129581   -0.000006   
-1.509677   1.30502975E-01   0.130504   -0.000007   
-1.504839   1.31429402E-01   0.131430   -0.000005   
-1.500000   1.32359401E-01   0.132359   0.000000   
-1.500000   1.32359401E-01   0.132359   0.000000   
-1.495161   1.33292953E-01   0.133292   0.000005   
-1.490323   1.34230041E-01   0.134229   0.000006   
-1.485484   1.35170647E-01   0.135170   0.000006   
-1.480645   1.36114754E-01   0.136114   0.000003   
-1.475806   1.37062342E-01   0.137062   0.000000   
-1.470968   1.38013393E-01   0.138014   -0.000003   
-1.466129   1.38967888E-01   0.138969   -0.000005   
-1.461290   1.39925806E-01   0.139927   -0.000006   
-1.456452   1.40887127E-01   0.140888   -0.000005   
-1.451613   1.41851832E-01   0.141852   0.000000   
-1.451613   1.41851832E-01   0.141852   0.000000   
-1.446774   1.42819899E-01   0.142819   0.000005   
-1.441935   1.43791307E-01   0.143790   0.000006   
-1.437097   1.44766035E-01   0.144765   0.000005   
-1.432258   1.45744061E-01   0.145744   0.000003   
-1.427419   1.46725362E-01   0.146725   0.000000   
-1.422581   1.47709916E-01   0.147710   -0.000003   
-1.417742   1.48697699E-01   0.148698   -0.000005   
-1.412903   1.49688689E-01   0.149690   -0.000006   
-1.408065   1.50682862E-01   0.150684   -0.000005   
-1.403226   1.51680193E-01   0.151680   -0.000000   
-1.403226   1.51680193E-01   0.151680   0.000000   
-1.398387   1.52680657E-01   0.152680   0.000004   
-1.393548   1.53684231E-01   0.153683   0.000006   
-1.388710   1.54690888E-01   0.154690   0.000005   
-1.383871   1.55700603E-01   0.155700   0.000003   
-1.379032   1.56713350E-01   0.156713   0.000000   
-1.374194   1.57729103E-01   0.157730   -0.000003   
-1.369355   1.58747834E-01   0.158749   -0.000005   
-1.364516   1.59769516E-01   0.159770   -0.000006   
-1.359677   1.60794123E-01   0.160795   -0.000004   
-1.354839   1.61821625E-01   0.161822   0.000000   
-1.354839   1.61821625E-01   0.161822   0.000000   
-1.350000   1.62851996E-01   0.162851   0.000004   
-1.345161   1.63885205E-01   0.163884   0.000005   
-1.340323   1.64921224E-01   0.164920   0.000005   
-1.335484   1.65960024E-01   0.165960   0.000003   
-1.330645   1.67001574E-01   0.167002   0.000000   
-1.325806   1.68045845E-01   0.168046   -0.000003   
-1.320968   1.69092806E-01   0.169094   -0.000005   
-1.316129   1.70142426E-01   0.170143   -0.000005   
-1.311290   1.71194673E-01   0.171195   -0.000004   
-1.306452   1.72249517E-01   0.172250   0.000000   
-1.306452   1.72249517E-01   0.172250   0.000000   
-1.301613   1.73306924E-01   0.173306   0.000004   
-1.296774   1.74366863E-01   0.174366   0.000005   
-1.291935   1.75429301E-01   0.175429   0.000004   
-1.287097   1.76494204E-01   0.176494   0.000003   
-1.282258   1.77561539E-01   0.177562   0.000000   
-1.277419   1.78631272E-01   0.178632   -0.000002   
-1.272581   1.79703369E-01   0.179704   -0.000004   
-1.267742   1.80777795E-01   0.180779   -0.000005   
-1.262903   1.81854516E-01   0.181855   -0.000004   
-1.258065   1.82933495E-01   0.182933   -0.000000   
-1.258065   1.82933495E-01   0.182933   0.000000   
-1.253226   1.84014697E-01   0.184014   0.000004   
-1.248387   1.85098085E-01   0.185097   0.000005   
-1.243548   1.86183625E-01   0.186183   0.000004   
-1.238710   1.87271277E-01   0.187271   0.000002   
-1.233871   1.88361006E-01   0.188361   0.000000   
-1.229032   1.89452774E-01   0.189453   -0.000002   
-1.224194   1.90546543E-01   0.190547   -0.000004   
-1.219355   1.91642275E-01   0.191643   -0.000005   
-1.214516   1.92739930E-01   0.192741   -0.000003   
-1.209677   1.93839470E-01   0.193839   0.000000   
-1.209677   1.93839470E-01   0.193839   0.000000   
-1.204839   1.94940857E-01   0.194940   0.000003   
-1.200000   1.96044049E-01   0.196043   0.000004   
-1.195161   1.97149007E-01   0.197148   0.000004   
-1.190323   1.98255691E-01   0.198255   0.000002   
-1.185484   1.99364060E-01   0.199364   0.000000   
-1.180645   2.00474072E-01   0.200474   -0.000002   
-1.175806   2.01585687E-01   0.201586   -0.000004   
-1.170968   2.02698863E-01   0.202700   -0.000004   
-1.166129   2.03813558E-01   0.203814   -0.000003   
-1.161290   2.04929728E-01   0.204930   0.000000   
-1.161290   2.04929728E-01   0.204930   0.000000   
-1.156452   2.06047332E-01   0.206047   0.000003   
-1.151613   2.07166327E-01   0.207165   0.000004   
-1.146774   2.08286668E-01   0.208286   0.000004   
-1.141935   2.09408313E-01   0.209408   0.000002   
-1.137097   2.10531217E-01   0.210531   0.000000   
-1.132258   2.11655335E-01   0.211656   -0.000002   
-1.127419   2.12780624E-01   0.212781   -0.000004   
-1.122581   2.13907038E-01   0.213908   -0.000004   
-1.117742   2.15034532E-01   0.215035   -0.000003   
-1.112903   2.16163059E-01   0.216163   0.000000   
-1.112903   2.16163059E-01   0.216163   0.000000   
-1.108065   2.17292575E-01   0.217292   0.000003   
-1.103226   2.18423033E-01   0.218422   0.000004   
-1.098387   2.19554386E-01   0.219554   0.000003   
-1.093548   2.20686587E-01   0.220686   0.000002   
-1.088710   2.21819590E-01   0.221820   0.000000   
-1.083871   2.22953346E-01   0.222954   -0.000002   
-1.079032   2.24087808E-01   0.224089   -0.000003   
-1.074194   2.25222928E-01   0.225224   -0.000004   
-1.069355   2.26358658E-01   0.226359   -0.000003   
-1.064516   2.27494949E-01   0.227495   0.000000   
-1.064516   2.27494949E-01   0.227495   -0.000000   
-1.059677   2.28631751E-01   0.228631   0.000003   
-1.054839   2.29769017E-01   0.229768   0.000004   
-1.050000   2.30906696E-01   0.230906   0.000003   
-1.045161   2.32044738E-01   0.232044   0.000002   
-1.040323   2.33183094E-01   0.233183   0.000000   
-1.035484   2.34321713E-01   0.234322   -0.000002   
-1.030645   2.35460545E-01   0.235461   -0.000003   
-1.025806   2.36599539E-01   0.236600   -0.000004   
-1.020968   2.37738643E-01   0.237739   -0.000003   
-1.016129   2.38877807E-01   0.238878   0.000000   
-1.016129   2.38877807E-01   0.238878   0.000000   
-1.011290   2.40016979E-01   0.240016   0.000002   
-1.006452   2.41156107E-01   0.241155   0.000003   
-1.001613   2.42295139E-01   0.242294   0.000003   
-0.996774   2.43434023E-01   0.243434   0.000002   
-0.991935   2.44572706E-01   0.244573   0.000000   
-0.987097   2.45711135E-01   0.245712   -0.000002   
-0.982258   2.46849258E-01   0.246850   -0.000003   
-0.977419   2.47987020E-01   0.247988   -0.000003   
-0.972581   2.49124370E-01   0.249125   -0.000002   
-0.967742   2.50261253E-01   0.250261   0.000000   
-0.967742   2.50261253E-01   0.250261   0.000000   
-0.962903   2.51397614E-01   0.251397   0.000002   
-0.958065   2.52533401E-01   0.252533   0.000003   
-0.953226   2.53668559E-01   0.253668   0.000003   
-0.948387   2.54803033E-01   0.254803   0.000002   
-0.943548   2.55936768E-01   0.255937   0.000000   
-0.938710   2.57069710E-01   0.257070   -0.000002   
-0.933871   2.58201804E-01   0.258202   -0.000003   
-0.929032   2.59332994E-01   0.259334   -0.000003   
-0.924194   2.60463225E-01   0.260464   -0.000002   
-0.919355   2.61592441E-01   0.261592   0.000000   
-0.919355   2.61592441E-01   0.261592   -0.000000   
-0.914516   2.62720586E-01   0.262720   0.000002   
-0.909677   2.63847605E-01   0.263847   0.000003   
-0.904839   2.64973442E-01   0.264973   0.000003   
-0.900000   2.66098039E-01   0.266098   0.000001   
-0.895161   2.67221341E-01   0.267221   0.000000   
-0.890323   2.68343292E-01   0.268344   -0.000001   
-0.885484   2.69463833E-01   0.269464   -0.000002   
-0.880645   2.70582909E-01   0.270584   -0.000003   
-0.875806   2.71700462E-01   0.271701   -0.000002   
-0.870968   2.72816436E-01   0.272816   0.000000   
-0.870968   2.72816436E-01   0.272816   -0.000000   
-0.866129   2.73930773E-01   0.273930   0.000002   
-0.861290   2.75043415E-01   0.275043   0.000003   
-0.856452   2.76154305E-01   0.276154   0.000002   
-0.851613   2.77263385E-01   0.277263   0.000001   
-0.846774   2.78370599E-01   0.278371   0.000000   
-0.841935   2.79475887E-01   0.279476   -0.000001   
-0.837097   2.80579192E-01   0.280580   -0.000002   
-0.832258   2.81680456E-01   0.281681   -0.000003   
-0.827419   2.82779621E-01   0.282780   -0.000002   
-0.822581   2.83876628E-01   0.283877   0.000000   
-0.822581   2.83876628E-01   0.283877   0.000000   
-0.817742   2.84971419E-01   0.284971   0.000002   
-0.812903   2.86063937E-01   0.286063   0.000002   
-0.808065   2.87154121E-01   0.287154   0.000002   
-0.803226   2.88241915E-01   0.288242   0.000001   
-0.798387   2.89327259E-01   0.289327   0.000000   
-0.793548   2.90410095E-01   0.290410   -0.000001   
-0.788710   2.91490364E-01   0.291491   -0.000002   
-0.783871   2.92568007E-01   0.292569   -0.000002   
-0.779032   2.93642967E-01   0.293644   -0.000002   
-0.774194   2.94715183E-01   0.294715   -0.000000   
-0.774194   2.94715183E-01   0.294715   0.000000   
-0.769355   2.95784597E-01   0.295784   0.000002   
-0.764516   2.96851150E-01   0.296850   0.000002   
-0.759677   2.97914784E-01   0.297914   0.000002   
-0.754839   2.98975439E-01   0.298975   0.000001   
-0.750000   3.00033057E-01   0.300033   0.000000   
-0.745161   3.01087579E-01   0.301088   -0.000001   
-0.740323   3.02138946E-01   0.302140   -0.000002   
-0.735484   3.03187099E-01   0.303188   -0.000002   
-0.730645   3.04231980E-01   0.304232   -0.000002   
-0.725806   3.05273529E-01   0.305274   0.000000   
-0.725806   3.05273529E-01   0.305274   0.000000   
-0.720968   3.06311687E-01   0.306311   0.000002   
